number,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius,gravitation
4094,WASP-106 b,1160.0,514.836,11.21,2014,Gas Giant,11.424,0.0917 AU,9.3 days,0.0,WASP-104,Transit,83.63,1.074,10h42m24.58s,+07d26m06.1s,5475.0,1.08,0.96,38.73676150643191
4096,WASP-10 b,462.0,1001.07,12.7,2008,Gas Giant,12.096,0.03781 AU,3.1 days,0.05,WASP-106,Transit,89.49,,11h05m43.14s,-05d04m45.9s,6055.0,0.93,1.31,67.18490100095313
4097,WASP-113 b,1174.0,150.955,11.770999999999999,2016,Gas Giant,15.7808,0.05885 AU,4.5 days,0.0,WASP-107,Transit,89.7,0.19,12h33m32.85s,-10d08m46.1s,4430.0,0.69,0.66,5.952237643823542
4098,WASP-114 b,1501.0,562.1881999999999,12.743,2016,Gas Giant,14.996799999999999,0.02851 AU,1.5 days,0.01,WASP-11,Transit,89.8,,03h09m28.55s,+30d40m24.9s,4800.0,1.42,0.89,24.54569410514369
4099,WASP-117 b,518.0,95.34,10.15,2014,Gas Giant,11.872,0.09459 AU,10 days,0.3,WASP-113,Transit,86.46,0.228,14h59m29.47s,+46d57m36.4s,5890.0,1.32,1.61,6.642295048866037
4100,WASP-118 b,1241.0,163.3492,11.02,2016,Gas Giant,16.128,0.05453 AU,4 days,0.0,WASP-114,Transit,83.96,0.97,21h50m39.46s,+10d27m48.5s,5940.0,1.29,1.43,6.166614127587484
4101,WASP-119 b,1086.0,390.894,12.2,2016,Gas Giant,15.679999999999998,0.0363 AU,2.5 days,< 0.058,WASP-117,Transit,89.14,,02h27m06.10s,-50d17m04.3s,6040.0,1.29,1.22,15.611968948629649
4102,WASP-11 b,408.0,251.062,11.6,2008,Gas Giant,12.432,0.0435 AU,3.7 days,0.0,WASP-118,Transit,88.7,0.233,01h18m12.13s,+02d42m10.2s,6410.0,1.32,1.7,15.95106822053309
4103,WASP-120 b,1425.0,1541.33,11.0,2016,Gas Giant,16.4976,0.0514 AU,3.6 days,0.06,WASP-119,Transit,85.0,0.7,03h43m44.03s,-65d11m37.9s,5650.0,1.02,1.2,55.60897417295512
4104,WASP-121 b,881.0,375.9574,10.44,2016,Gas Giant,20.887999999999998,0.02544 AU,1.3 days,0.0,WASP-12,Transit,83.52,0.267,06h30m32.79s,+29d40m20.2s,6360.0,1.43,1.66,8.461273067057343
4105,WASP-123 b,698.0,285.7022,11.1,2016,Gas Giant,14.7616,0.04263 AU,3 days,0.0,WASP-120,Transit,82.54,2.0,04h10m27.85s,-45d53m53.6s,6450.0,1.39,1.87,12.874711616246906
4106,WASP-124 b,1412.0,190.68,12.7,2016,Gas Giant,13.888,0.0449 AU,3.4 days,< 0.017,WASP-121,Transit,87.6,0.243,07h10m24.07s,-39d05m50.6s,6459.0,1.35,1.46,9.707703846131478
4107,WASP-126 b,763.0,90.29015799999999,10.8,2016,Gas Giant,10.751999999999999,0.0449 AU,3.3 days,< 0.18,WASP-123,Transit,85.74,0.521,19h17m54.88s,-32d51m40.1s,5740.0,1.17,1.28,7.669246429036925
4108,WASP-126 c,763.0,64.19242200000001,10.8,2019,Gas Giant,9.3744,Unknown,7.6 days,< 0.05,WASP-124,Transit,86.3,0.43,22h10m51.44s,-30d44m58.8s,6050.0,1.07,1.02,7.17278134386867
4109,WASP-127 b,333.0,57.204,10.15,2016,Gas Giant,15.344,0.052 AU,4.2 days,0.0,WASP-126,Transit,89.51,,04h13m29.73s,-69d13m36.5s,5800.0,1.12,1.27,2.385832825480062
4110,WASP-129 b,802.0,317.8,12.3,2016,Gas Giant,10.416,0.0628 AU,5.7 days,< 0.096,WASP-126,Transit Timing Variations,85.5,,04h13m29.73s,-69d13m36.5s,5800.0,1.12,1.27,28.763566951500678
4111,WASP-12 b,1411.0,465.57700000000006,11.69,2008,Gas Giant,21.694399999999998,0.0232 AU,1.1 days,0.04,WASP-127,Transit,88.7,0.09,10h42m14.08s,-03d50m06.2s,5620.0,1.08,1.39,9.713752237173884
4112,WASP-130 b,587.0,390.894,11.1,2016,Gas Giant,9.968,0.1012 AU,11.6 days,0.0,WASP-129,Transit,87.7,1.6,11h45m11.75s,-42d03m50.1s,5900.0,1.0,0.9,38.63080310480255
4113,WASP-131 b,816.0,85.80600000000001,10.1,2016,Gas Giant,13.664,0.0607 AU,5.3 days,0.0,WASP-13,Transit,85.43,,09h20m24.71s,+33d52m56.8s,5950.0,0.72,1.37,4.512869151582433
4114,WASP-132 b,391.0,130.298,12.4,2016,Gas Giant,9.744,0.067 AU,7.1 days,0.0,WASP-130,Transit,88.66,2.34,13h32m25.44s,-42d28m31.0s,5625.0,1.04,0.96,13.475782419216147
4115,WASP-133 b,1784.0,368.64799999999997,12.9,2016,Gas Giant,13.552,0.0345 AU,2.2 days,< 0.17,WASP-131,Transit,85.0,0.2,14h00m46.45s,-30d35m00.8s,6030.0,1.06,1.53,19.710420398449145
4116,WASP-135 b,979.0,603.82,13.28,2015,Gas Giant,14.559999999999999,0.0243 AU,1.4 days,0.0,WASP-132,Transit,89.6,0.84,14h30m26.19s,-46d09m33.0s,4775.0,0.8,0.74,27.968909589982594
4117,WASP-136 b,535.0,479.87800000000004,9.98,2016,Gas Giant,15.455999999999998,0.0661 AU,5.2 days,0.0,WASP-133,Transit,87.0,0.88,20h58m18.09s,-35d47m47.6s,5700.0,1.16,1.44,19.72547241918344
